#  idx     temp           <En>           fluEn          <rho>          flurho          <En2>         fluEn2          <EnN>          fluEnN         <phi>          fluphi         <phi2>        fluphi2         <phi4>        fluphi4        <theta>        flutheta       <theta2>       flutheta2      <theta4>      flutheta4        <Q>            fluQ           <Q2>           fluQ2          <Q4>          fluQ4           <N2>           fluN2 
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  22   8.515000e-01   -1.267738e+03   4.981906e+00   9.732042e-01   1.856597e-05   1.616686e+06   1.267403e+04   -2.843562e+06   1.116837e+04   8.965258e-03   4.584610e-06   1.038652e-04   1.197798e-07   2.600000e-08   6.998542e-10   7.365956e-01   4.704114e-04   5.512397e-01   5.134378e-04   3.181683e-01   4.111250e-04   7.707394e-01   4.483581e-04   6.018674e-01   5.276764e-04   3.766475e-01   4.633909e-04   5.027929e+06   1.907897e+01 
  23   8.522500e-01   -1.247953e+03   4.703037e+00   9.725268e-01   2.406764e-05   1.567333e+06   1.169775e+04   -2.797331e+06   1.054555e+04   9.126575e-03   6.210148e-06   1.077342e-04   1.608945e-07   3.000000e-08   2.836048e-24   7.256624e-01   6.079573e-04   5.365492e-01   6.699515e-04   3.036347e-01   5.198537e-04   7.604208e-01   5.809968e-04   5.872895e-01   6.897906e-04   3.609134e-01   5.921528e-04   5.020946e+06   2.471244e+01
  24   8.530000e-01   -1.250549e+03   5.907534e+00   9.718519e-01   3.243320e-05   1.575128e+06   1.479655e+04   -2.801303e+06   1.324790e+04   9.279453e-03   7.673667e-06   1.114540e-04   2.024624e-07   3.000000e-08   2.836048e-24   7.140846e-01   8.018122e-04   5.217687e-01   8.864214e-04   2.898579e-01   6.929089e-04   7.494958e-01   7.676723e-04   5.725293e-01   9.131250e-04   3.458561e-01   7.894335e-04   5.013996e+06   3.329756e+01 
  25   8.537500e-01   -1.229852e+03   5.991542e+00   9.710539e-01   2.783548e-05   1.524720e+06   1.468113e+04   -2.752818e+06   1.340802e+04   9.463136e-03   7.165772e-06   1.160090e-04   1.891408e-07   3.000000e-08   2.836048e-24   6.997633e-01   6.933098e-04   5.039240e-01   7.449743e-04   2.738001e-01   5.668994e-04   7.358877e-01   6.634087e-04   5.545617e-01   7.692282e-04   3.281291e-01   6.474874e-04   5.005786e+06   2.856043e+01 
  26   8.545000e-01   -1.214663e+03   6.195638e+00   9.702707e-01   3.681128e-05   1.488463e+06   1.493063e+04   -2.716756e+06   1.386366e+04   9.642901e-03   8.864402e-06   1.205646e-04   2.415359e-07   3.220000e-08   5.917804e-10   6.856956e-01   1.029151e-03   4.869258e-01   1.022531e-03   2.589056e-01   6.979106e-04   7.225586e-01   9.841194e-04   5.374267e-01   1.066977e-03   3.116549e-01   8.121464e-04   4.997734e+06   3.769808e+01 
  27   8.552500e-01   -1.194950e+03   5.497694e+00   9.692086e-01   4.451787e-05   1.441935e+06   1.319100e+04   -2.669954e+06   1.227000e+04   9.888004e-03   1.047786e-05   1.269762e-04   2.953730e-07   4.000000e-08   2.836048e-24   6.640072e-01   1.253051e-03   4.622869e-01   1.211930e-03   2.391948e-01   7.885756e-04   7.018714e-01   1.200411e-03   5.122511e-01   1.270274e-03   2.894175e-01   9.257768e-04   4.986831e+06   4.555059e+01 
  28   8.560000e-01   -1.185084e+03   6.011583e+00   9.681549e-01   4.819429e-05   1.419825e+06   1.435478e+04   -2.645213e+06   1.343888e+04   1.012560e-02   1.149304e-05   1.332700e-04   3.256838e-07   4.080000e-08   3.875617e-10   6.426295e-01   1.344194e-03   4.382953e-01   1.306967e-03   2.203692e-01   8.555129e-04   6.814468e-01   1.290534e-03   4.876718e-01   1.371369e-03   2.680884e-01   1.005272e-03   4.976022e+06   4.929910e+01 
  29   8.567500e-01   -1.165666e+03   6.461171e+00   9.670628e-01   5.178648e-05   1.375517e+06   1.506481e+04   -2.599118e+06   1.440652e+04   1.037207e-02   1.203776e-05   1.398966e-04   3.415504e-07   4.860000e-08   4.956958e-10   6.200937e-01   1.463666e-03   4.139093e-01   1.403496e-03   2.020439e-01   8.888573e-04   6.598741e-01   1.396496e-03   4.625471e-01   1.471287e-03   2.471667e-01   1.049895e-03   4.964830e+06   5.295153e+01 
  30   8.575000e-01   -1.145799e+03   5.698430e+00   9.659422e-01   5.392034e-05   1.330045e+06   1.302312e+04   -2.552024e+06   1.267593e+04   1.061931e-02   1.250800e-05   1.466758e-04   3.629090e-07   5.060000e-08   3.392669e-10   5.966097e-01   1.542775e-03   3.890974e-01   1.437993e-03   1.841182e-01   8.726812e-04   6.374067e-01   1.479074e-03   4.368953e-01   1.517243e-03   2.265534e-01   1.038893e-03   4.953356e+06   5.508076e+01 
  31   8.582500e-01   -1.120153e+03   6.010086e+00   9.646128e-01   5.341426e-05   1.273073e+06   1.335277e+04   -2.491673e+06   1.338874e+04   1.091891e-02   1.278315e-05   1.551038e-04   3.806610e-07   5.860000e-08   4.956958e-10   5.668628e-01   1.529744e-03   3.591324e-01   1.391268e-03   1.638115e-01   8.234139e-04   6.088023e-01   1.478096e-03   4.056360e-01   1.478036e-03   2.029098e-01   9.861892e-04   4.939758e+06   5.452022e+01 
